depth_top (m),depth_bott (m),depth_mid (m),ageGICC05ext_top (yr BP),ageGICC05ext_bott (yr BP),ageGICC05_mid (yr BP),NH4source (ng/m3),NH4source+1sigma (ng/m3),NH4source-1sigma (ng/m3),NH4 atm. residence time (days),Nasource (ng/m3),Nasource+1sigma (ng/m3),Nasource-1sigma (ng/m3),Na atm. residence time (days),Casource (ng/m3),Casource+1sigma (ng/m3),Casource-1sigma (ng/m3),Ca atm. residence time (days)
1247.9255,1248.6720,1248.2988,8414.8339,8425.1379,8419.9859,137.55,252.69,22.409,5.27,97.86,234.63,-38.91,1.76,30.00,69.49,-9.49,7.63
1248.6720,1249.3940,1249.0330,8425.1379,8435.0036,8430.0708,121.76,223.51,20.004,5.28,91.58,219.25,-36.10,1.77,29.60,68.44,-9.25,7.64
1249.3940,1250.1010,1249.7475,8435.0036,8445.1636,8440.0836,165.68,304.12,27.245,5.29,95.18,227.84,-37.48,1.77,28.59,66.12,-8.93,7.65
1250.1010,1250.8965,1250.4988,8445.1636,8455.0918,8450.1277,149.31,274.22,24.401,5.27,84.95,203.57,-33.66,1.76,24.72,57.22,-7.79,7.63
1250.8965,1251.7015,1251.2990,8455.0918,8464.8382,8459.9650,90.768,166.62,14.914,5.28,58.39,139.77,-22.99,1.76,21.91,50.68,-6.86,7.64
1251.7015,1252.4480,1252.0748,8464.8382,8475.1549,8469.9965,88.335,161.93,14.741,5.31,90.12,215.11,-34.88,1.77,24.75,57.10,-7.61,7.66
1252.4480,1253.2145,1252.8313,8475.1549,8485.0027,8480.0788,67.431,123.47,11.394,5.33,121.57,289.57,-46.43,1.78,24.90,57.32,-7.52,7.69
1253.2145,1254.0000,1253.6073,8485.0027,8495.0000,8490.0014,79.277,145.04,13.512,5.35,88.88,211.42,-33.66,1.79,23.86,54.83,-7.10,7.71
1254.0000,1254.7855,1254.3928,8495.0000,8504.9973,8499.9986,78.598,143.78,13.421,5.36,96.87,230.37,-36.64,1.79,33.45,76.81,-9.91,7.71
1254.7855,1255.5520,1255.1688,8504.9973,8514.8451,8509.9212,174.63,319.58,29.671,5.35,100.12,238.31,-38.08,1.79,28.09,64.57,-8.39,7.70
