NEEM ion concentration data in 10 yr resolution,,,,,,,,,,
,,,,,,,,,,
"Reference: Schüpbach et al., Greenland records of aerosol source and atmospheric lifetime changes from the Eemian to the Holocene, Nature Communications, 2018",,,,,,,,,,
,,,,,,,,,,
Column A: ,NEEM depth in m below the surface of top of 10 yr interval,,,,,,,,,
Column B: ,NEEM depth in m below the surface of bottom of 10 yr interval,,,,,,,,,
Column C: ,NEEM depth in m below the surface of middle of 10 yr interval,,,,,,,,,
Column D:,"GICC05 age of the top of the 10 yr interval applied to the NEEM ice core (Rasmussen et al., 2013) in years before present (where present is defined as 1950).",,,,,,,,,
Column E:,"GICC05 age of the bottom of the 10 yr interval applied to the NEEM ice core (Rasmussen et al., 2013) in years before present (where present is defined as 1950).",,,,,,,,,
Column F:,"GICC05 age of the middle of the 10 yr interval applied to the NEEM ice core (Rasmussen et al., 2013) in years before present (where present is defined as 1950).",,,,,,,,,
Column G:,mean NH4+ ice concentration of each 10 yr interval in ng/g (missing values indicated by NaN),,,,,,,,,
Column H:,mean NO3- ice concentration of each 10 yr interval in ng/g (missing values indicated by NaN),,,,,,,,,
Column I:,mean Na+ ice concentration of each 10 yr interval in ng/g (missing values indicated by NaN),,,,,,,,,
Column J:,mean Ca2+ ice concentration of each 10 yr interval in ng/g (missing values indicated by NaN),,,,,,,,,
Column K:,meanSO42- ice concentration of each 10 yr interval in ng/g (missing values indicated by NaN),,,,,,,,,
,,,,,,,,,,
"further reference: Rasmussen et al., A first chronology for the North Greenland Eemian Ice Drilling (NEEM) ice core. Climate of the Past 9, 2713–2730, doi:10.5194/cp-9-2713-2013 (2013).",,,,,,,,,,
,,,,,,,,,,
depth_top (m),depth_bott (m),depth_mid (m),ageGICC05ext_top (yr BP),ageGICC05ext_bott (yr BP),ageGICC05_mid (yr BP),NH4 (ng/g),NO3 (ng/g),Na (ng/g),Ca (ng/g),SO4 (ng/g)
1250.8965,1251.7015,1251.2990,8455.0918,8464.8382,8459.9650,6.60,91.32,6.33,6.39,NaN
1251.7015,1252.4480,1252.0748,8464.8382,8475.1549,8469.9965,6.46,98.71,9.88,7.26,NaN
1252.4480,1253.2145,1252.8313,8475.1549,8485.0027,8480.0788,4.96,98.05,13.46,7.35,NaN
1253.2145,1254.0000,1253.6073,8485.0027,8495.0000,8490.0014,5.86,88.05,9.93,7.08,NaN
1254.0000,1254.7855,1254.3928,8495.0000,8504.9973,8499.9986,5.82,102.17,10.85,9.94,NaN
1254.7855,1255.5520,1255.1688,8504.9973,8514.8451,8509.9212,12.91,129.29,11.17,8.33,NaN
1255.5520,1256.3380,1255.9450,8514.8451,8525.3394,8520.0922,19.49,94.61,15.19,7.46,NaN
1256.3380,1257.0865,1256.7123,8525.3394,8534.9148,8530.1271,6.86,85.97,21.85,5.74,NaN
1257.0865,1257.7540,1257.4203,8534.9148,8545.2770,8540.0959,11.64,110.08,14.50,7.74,NaN
1257.7540,1258.4785,1258.1163,8545.2770,8554.9991,8550.1380,10.65,120.74,9.45,8.35,NaN
1258.4785,1259.2250,1258.8518,8554.9991,8565.0000,8559.9995,12.55,97.05,9.42,7.59,NaN
1259.2250,1259.9715,1259.5983,8565.0000,8575.0009,8570.0005,5.56,84.64,6.89,5.53,NaN
1259.9715,1260.6960,1260.3338,8575.0009,8584.7230,8579.8620,7.86,104.99,10.42,6.90,NaN
1260.6960,1261.3640,1261.0300,8584.7230,8595.0925,8589.9077,7.32,113.34,10.73,8.22,NaN
1261.3640,1262.0145,1261.6893,8595.0925,8605.1285,8600.1105,10.02,96.39,12.21,6.21,NaN
1262.0145,1262.7475,1262.3810,8605.1285,8615.1861,8610.1573,10.53,91.02,8.23,7.32,NaN
1262.7475,1263.5725,1263.1600,8615.1861,8624.8695,8620.0278,9.09,89.34,10.73,6.26,NaN
1263.5725,1264.3715,1263.9720,8624.8695,8635.0009,8629.9352,6.26,93.16,12.13,7.71,NaN
1264.3715,1265.1575,1264.7645,8635.0009,8645.0045,8640.0027,8.62,103.87,13.31,6.75,NaN
1265.1575,1265.9285,1265.5430,8645.0045,8654.8685,8649.9365,8.18,99.73,9.68,10.32,NaN
1265.9285,1266.6745,1266.3015,8654.8685,8665.1661,8660.0173,8.98,90.17,10.85,6.36,NaN
1266.6745,1267.3965,1267.0355,8665.1661,8674.8900,8670.0281,8.54,97.31,10.94,7.28,NaN
1267.3965,1268.1285,1267.7625,8674.8900,8684.8685,8679.8793,8.17,106.88,10.66,10.76,NaN
1268.1285,1268.8500,1268.4893,8684.8685,8695.0000,8689.9343,6.63,99.84,13.18,7.72,NaN
1268.8500,1269.5720,1269.2110,8695.0000,8705.1379,8700.0689,9.29,117.30,10.08,8.98,NaN
1269.5720,1270.2805,1269.9263,8705.1379,8714.8409,8709.9894,10.17,99.82,12.00,8.18,NaN
1270.2805,1270.9090,1270.5948,8714.8409,8725.3230,8720.0820,8.94,97.10,10.35,11.31,NaN
1270.9090,1271.6000,1271.2545,8725.3230,8735.0000,8730.1615,6.30,81.66,13.67,7.64,NaN
1271.6000,1272.3465,1271.9733,8735.0000,8744.8900,8739.9450,11.82,93.71,11.24,9.81,NaN
1272.3465,1273.0785,1272.7125,8744.8900,8754.8685,8749.8793,4.83,89.20,9.53,8.98,NaN
1273.0785,1273.8245,1273.4515,8754.8685,8765.1661,8760.0173,10.08,102.81,8.99,6.34,NaN
1273.8245,1274.5155,1274.1700,8765.1661,8774.7780,8769.9720,9.83,100.53,9.77,8.69,NaN
1274.5155,1275.1445,1274.8300,8774.7780,8785.0009,8779.8895,NaN,NaN,NaN,NaN,NaN
1275.1445,1275.8285,1275.4865,8785.0009,8794.8685,8789.9347,8.78,112.13,11.93,10.49,NaN
1275.8285,1276.5745,1276.2015,8794.8685,8805.1661,8800.0173,4.28,94.37,16.48,NaN,NaN
1276.5745,1277.2965,1276.9355,8805.1661,8814.8900,8810.0281,7.89,94.84,8.64,8.06,NaN
1277.2965,1277.9645,1277.6305,8814.8900,8825.1285,8820.0093,7.89,96.35,6.82,11.30,NaN
1277.9645,1278.6365,1278.3005,8825.1285,8834.7073,8829.9179,8.10,93.16,17.87,9.68,NaN
1278.6365,1279.3190,1278.9778,8834.7073,8845.1456,8839.9264,10.04,87.13,11.57,7.53,NaN
1279.3190,1279.9875,1279.6533,8845.1456,8855.0000,8850.0728,14.97,102.67,11.88,7.40,NaN
1279.9875,1280.6410,1280.3143,8855.0000,8864.9505,8859.9753,9.86,123.80,9.39,7.09,NaN
1280.6410,1281.2645,1280.9528,8864.9505,8875.1285,8870.0395,12.56,122.19,10.42,9.17,NaN
1281.2645,1281.9515,1281.6080,8875.1285,8884.8382,8879.9834,9.48,92.80,11.50,7.64,NaN
1281.9515,1282.6455,1282.2985,8884.8382,8894.8520,8889.8451,9.10,79.57,8.81,7.67,NaN
1282.6455,1283.2990,1282.9723,8894.8520,8905.1212,8899.9866,35.62,93.34,8.74,11.65,NaN
1283.2990,1284.0510,1283.6750,8905.1212,8915.3568,8910.2390,6.57,82.91,12.92,9.09,46.57
1284.0510,1284.8760,1284.4635,8915.3568,8924.4706,8919.9137,9.55,93.37,8.41,7.58,68.60
1284.8760,1285.5910,1285.2335,8924.4706,8934.9505,8929.7105,11.28,83.94,9.66,8.51,37.27
1285.5910,1286.2670,1285.9290,8934.9505,8944.7544,8939.8525,10.02,83.53,9.56,7.49,29.98
1286.2670,1286.9740,1286.6205,8944.7544,8955.3105,8950.0324,8.33,87.53,8.87,8.03,32.97
1286.9740,1287.6730,1287.3235,8955.3105,8964.8594,8960.0849,14.49,93.02,12.82,7.67,26.57
1287.6730,1288.3410,1288.0070,8964.8594,8974.9505,8969.9050,16.69,97.97,7.99,7.01,55.42
1288.3410,1289.0430,1288.6920,8974.9505,8985.0018,8979.9762,13.31,114.72,7.21,8.45,48.40
1289.0430,1289.7760,1289.4095,8985.0018,8994.6895,8989.8457,13.12,98.73,8.50,7.79,31.92
